CPCI,20240209,1.19,1.19,1.19,1.19,0
CPCS,20240209,0.45,0.45,0.45,0.45,0
CRBF,20240209,492.88,492.88,492.88,492.88,0
CRBL,20240209,504.72,504.72,504.72,504.72,0
CRBM,20240209,996.82,996.82,996.82,996.82,0
CRBO,20240209,542.27,542.27,542.27,542.27,0
CRBR,20240209,541.27,541.27,541.27,541.27,0
CRBS,20240209,521.09,521.09,521.09,521.09,0
CRBT,20240209,333.39,333.39,333.39,333.39,0
CSE,20240209,414,415.07,406.33,407.39,0
CYM,20240209,23.58,23.68,23.51,23.67,0
DAX,20240209,16973.58,16993.12,16876.36,16926.5,0
DCFD,20240209,58.46,64.61,41.53,64.61,0
DCFI,20240209,53.84,55.38,49.23,55.38,0
DCOF,20240209,56.92,60,56.92,58.46,0
DCOH,20240209,63.07,64.61,61.53,63.07,0
DCSE,20240209,111388,113552.1,110929.4,113481.7,0
DCTH,20240209,55.38,55.38,52.3,55.38,0
DCTW,20240209,52.3,56.92,52.3,56.92,0
DECA,20240209,81,101,78,81,49910000
DECC,20240209,54,122,54,121,11645700
DECE,20240209,1103,1361,850,865,763706100
DECN,20240209,1101,1195,679,695,1776870000
DECQ,20240209,1197,1311,869,869,1131898000
DECS,20240209,578,731,578,713,111847000
DECT,20240209,2379,2583,1645,1645,2958678000
DECU,20240209,4,1886,4,1843,1339692000
DECV,20240209,183,332,176,312,31377700
DECX,20240209,815,1164,815,1146,154870500
DIFD,20240209,60,60,43.33,56.66,0
DIFI,20240209,66.66,66.66,56.66,63.33,0
DIOF,20240209,73.33,80,73.33,76.66,0
DIOH,20240209,76.66,80,73.33,76.66,0
DITH,20240209,73.33,76.66,70,73.33,0
DITW,20240209,60,66.66,60,63.33,0
DJC,20240209,12431.29,12446.83,12382.64,12438.34,447087900
DJEC,20240209,1850.46,1876.64,1846.74,1870.94,0
DJI,20240209,38731.97,38734.28,38567.9,38671.69,302401000
DJT,20240209,16167.18,16219.83,16050.17,16215.5,90342500
DJU,20240209,828.86,835.59,828.18,834.43,54344300
DJWO,20240209,562.29,564.67,561.87,564.38,0
DLTC,20240209,5493.78,5554.05,5485.32,5548.94,0
DOWE,20240209,2250.31,2255.47,2240.33,2247.19,0
DRCI,20240209,265.93,267.33,264.03,267.03,0
DREI,20240209,376.6,378.62,373.85,378.06,0
DSAE,20240209,1784.09,1788.62,1776.99,1781.96,20077600
DSAF,20240209,1301.36,1301.36,1291.06,1295.13,6936600
